,Date,User,Message,Year,Month,Day,Hour,Minute
0,18-11-2022 17:58,notification,"Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more.
",2022,November,18,17,58
1,18-11-2022 17:58,notification,"Ansuman Silicon created group ""COS ❤️""
",2022,November,18,17,58
2,18-11-2022 17:58,notification,"Ansuman Silicon added you
",2022,November,18,17,58
3,18-11-2022 17:58,Ansuman Silicon,"<Media omitted>
",2022,November,18,17,58
4,18-11-2022 17:58,Ansuman Silicon,"<Media omitted>
",2022,November,18,17,58
5,18-11-2022 17:58,Ansuman Silicon,"<Media omitted>
",2022,November,18,17,58
6,18-11-2022 17:59,notification,"Ansuman Silicon changed this group's icon
",2022,November,18,17,59
7,18-11-2022 18:22,Priyanshu,"Swastik ku hii kariki galaki🤭
",2022,November,18,18,22
8,18-11-2022 18:23,Swastik,"Ki bala nka bhalia... Photo utheichi
",2022,November,18,18,23
9,18-11-2022 18:23,Swastik,"@918895006898
",2022,November,18,18,23
10,18-11-2022 18:23,Priyanshu,"Jaha hau utheichi ta... Tu ta setiki kariparunathilu
",2022,November,18,18,23
11,18-11-2022 18:23,Priyanshu,"🤣
",2022,November,18,18,23
12,18-11-2022 18:23,Sai,"She is cute but we have to investigate about her 🤭
",2022,November,18,18,23
13,18-11-2022 18:23,Swastik,"Upto u sai
",2022,November,18,18,23
14,18-11-2022 18:24,Sai,"Haan bro ❤️👍🏻
",2022,November,18,18,24
15,18-11-2022 18:27,Ansuman Silicon,"Sethipai hi utheili
",2022,November,18,18,27
16,18-11-2022 18:28,Ansuman Silicon,"Mgh @918260674950 girls hostel samanare gote jhiya ra without tara permission photo utheiba kete kasta mu janichi
",2022,November,18,18,28
17,18-11-2022 18:28,Ansuman Silicon,"Bala kau warden jadi dekhi deithanta mo gandi Mari deithanta
",2022,November,18,18,28
18,18-11-2022 18:29,Ansuman Silicon,"Yssss she is cute 
Sethipai kuha hauchi ghoda muha jaldi pata taku
",2022,November,18,18,29
19,18-11-2022 18:29,Sai,"😂😂😂😂😂😂😂
",2022,November,18,18,29
20,18-11-2022 18:29,Sai,"Raha bey amey dekhiba jadi bhala long term bhali dekhiba nah
",2022,November,18,18,29
21,18-11-2022 18:29,Sai,"Taw investigate karibaku padiba
",2022,November,18,18,29
22,18-11-2022 18:30,Sai,"Tara sabu katha janibaku padiba
",2022,November,18,18,30
23,18-11-2022 18:30,Ansuman Silicon,"Tu kr Tama hostel ra pika
",2022,November,18,18,30
24,18-11-2022 18:30,Ansuman Silicon,"Pila
",2022,November,18,18,30
25,18-11-2022 18:30,Sai,"Haan mu aji ratiru hin start karuchi
",2022,November,18,18,30
26,18-11-2022 18:30,Ansuman Silicon,"Hmmm
",2022,November,18,18,30
27,19-11-2022 10:45,Swastik,"Bye.. Guys... Hogaya mera
",2022,November,19,10,45
28,19-11-2022 10:45,Swastik,"Ab or nahin
",2022,November,19,10,45
29,19-11-2022 10:48,Priyanshu,"Ab aur ayenge😂 better luck next yr
",2022,November,19,10,48
30,19-11-2022 10:49,Sai,"Abeyyy sure se 100%?
",2022,November,19,10,49
31,19-11-2022 10:50,Sai,"😒
",2022,November,19,10,50
32,19-11-2022 10:50,Swastik,"Hmm
",2022,November,19,10,50
33,19-11-2022 10:56,Ansuman Silicon,"Tu confirm Kara thare
",2022,November,19,10,56
34,19-11-2022 11:05,Sai,"Channda se pila ku kemiti janila
",2022,November,19,11,5
35,19-11-2022 11:05,Sai,"Han raha karuchi
",2022,November,19,11,5
36,19-11-2022 11:05,Swastik,"Chhanda ra sanga and tanisha ra roommate di jana sanga
",2022,November,19,11,5
37,19-11-2022 11:05,Swastik,"So chhanda went to her room
",2022,November,19,11,5
38,19-11-2022 11:05,Sai,"Oho tahaley thik khabar deithibaa
",2022,November,19,11,5
39,19-11-2022 11:06,Sai,"We will clarify once again
",2022,November,19,11,6
40,19-11-2022 11:06,Ansuman Silicon,"Chodi heigala 
Breakup karidaba tara
",2022,November,19,11,6
41,19-11-2022 11:06,Swastik,"Chaad bhai
",2022,November,19,11,6
42,19-11-2022 11:06,Swastik,"😒
",2022,November,19,11,6
43,19-11-2022 11:17,Ansuman Silicon,"Au ama Bhai ku pasand asichi Mane se toki bas tora
",2022,November,19,11,17
44,19-11-2022 11:51,Chandan,"Hm hm 😌
",2022,November,19,11,51
45,19-11-2022 20:03,Priyanshu,"<Media omitted>
",2022,November,19,20,3
46,19-11-2022 20:03,Priyanshu,"dekhlo bhabiji ko sab achese😂😂😂
",2022,November,19,20,3
47,19-11-2022 20:04,Swastik,"Mo bala...
",2022,November,19,20,4
48,20-11-2022 08:49,Swastik,"https://youtu.be/j01Hg4QJ6NE
",2022,November,20,8,49
49,20-11-2022 08:49,Swastik,"It's a deep meaningful video
",2022,November,20,8,49
50,20-11-2022 08:49,Swastik,"Please watch it carefully
",2022,November,20,8,49
51,21-11-2022 22:18,Pooja Silicon,"<Media omitted>
",2022,November,21,22,18
52,21-11-2022 22:38,Ansuman Silicon,"<Media omitted>
",2022,November,21,22,38
53,21-11-2022 22:42,Swastik,"Ye mere lie tha
",2022,November,21,22,42
54,21-11-2022 22:42,Swastik,"?
",2022,November,21,22,42
55,21-11-2022 22:42,Ansuman Silicon,"Sabke liya
",2022,November,21,22,42
56,21-11-2022 22:42,Ansuman Silicon,"Including for me also
",2022,November,21,22,42
57,21-11-2022 22:43,Ansuman Silicon,"A deep msg in a small video ✨
",2022,November,21,22,43
58,22-11-2022 08:59,Priyanshu,"Guys Daman movie dekhibaku jiba!.... Ticket only 105 rupees... Min ticket price 95... Saturday ku jiba !!!?
",2022,November,22,8,59
59,22-11-2022 08:59,Ansuman Silicon,"Let's go....
",2022,November,22,8,59
60,22-11-2022 09:02,Sai,"I am in
",2022,November,22,9,2
61,22-11-2022 09:04,Priyanshu,"🤩ok...Everyone should agree... 

Jie jiba ta jiba... Kie jibani kuha first🤣🤣🤣
",2022,November,22,9,4
62,22-11-2022 10:02,Sruti,"Humra pata nhi
",2022,November,22,10,2
63,22-11-2022 10:02,Sruti,"<Media omitted>
",2022,November,22,10,2
64,22-11-2022 10:26,Sai,"Chale ba
",2022,November,22,10,26
65,22-11-2022 10:26,Sai,"2hrs movie teh
",2022,November,22,10,26
66,22-11-2022 10:48,Priyanshu,"Saturday Tak time he... Ghare pachariki kahibu au...
",2022,November,22,10,48
67,22-11-2022 10:49,Sai,"But tickets na kaley
",2022,November,22,10,49
68,22-11-2022 10:49,Sai,"Sarijiba
",2022,November,22,10,49
69,22-11-2022 10:54,Sai,"Movie bahut jyada popular achi
",2022,November,22,10,54
70,22-11-2022 11:13,Sruti,"Lets seee
",2022,November,22,11,13
71,22-11-2022 11:13,Sruti,"Thik
",2022,November,22,11,13
72,22-11-2022 11:13,Sruti,"Karidia tame mane
",2022,November,22,11,13
73,22-11-2022 11:22,Sai,"Chaleee tuuu
",2022,November,22,11,22
74,22-11-2022 11:22,Sai,"Tora bhi kara habaa
",2022,November,22,11,22
75,22-11-2022 11:28,Priyanshu,"Tu ghare kahibu ki sat kichi kama achi clg re au asijibu 2 hour ra movie ta 3-4 hours vitare gharaku paleibu simple😂 ghare kahibuniki movie jauchu boli...
",2022,November,22,11,28
